cisp;mes;ano;pop
1;1;2003;1545,22
4;1;2003;29790,39
5;1;2003;35656,96
6;1;2003;76271,40
7;1;2003;38659,03
9;1;2003;128932,39
10;1;2003;97517,56
12;1;2003;86643,75
13;1;2003;65618,57
14;1;2003;83868,92
15;1;2003;140126,00
16;1;2003;287538,70
17;1;2003;75855,81
18;1;2003;63967,74
19;1;2003;131628,48
20;1;2003;154966,73
21;1;2003;251500,01
22;1;2003;226485,82
23;1;2003;87133,48
24;1;2003;91631,71
25;1;2003;122746,15
26;1;2003;109979,77
27;1;2003;179448,62
28;1;2003;162683,24
29;1;2003;98969,42
30;1;2003;118839,25
31;1;2003;149548,46
32;1;2003;348601,00
33;1;2003;229545,43
34;1;2003;404325,32
35;1;2003;598846,50
36;1;2003;294678,99
37;1;2003;200799,12
38;1;2003;197212,46
39;1;2003;166619,42
40;1;2003;105399,83
41;1;2003;135150,75
44;1;2003;112044,69
48;1;2003;68281,05
50;1;2003;88084,86
51;1;2003;42045,91
52;1;2003;173341,55
53;1;2003;168124,69
54;1;2003;442944,00
55;1;2003;211987,72
56;1;2003;257940,00
57;1;2003;154632,16
58;1;2003;341326,95
59;1;2003;328175,91
60;1;2003;263646,33
61;1;2003;56222,51
62;1;2003;146603,67
64;1;2003;451758,24
65;1;2003;121680,48
66;1;2003;130294,75
71;1;2003;221851,38
72;1;2003;316582,40
73;1;2003;153184,30
74;1;2003;200295,28
75;1;2003;247077,62
76;1;2003;73070,61
77;1;2003;138558,16
78;1;2003;120446,20
79;1;2003;69668,66
81;1;2003;64583,17
82;1;2003;87168,15
88;1;2003;90032,66
89;1;2003;108166,92
90;1;2003;172491,93
91;1;2003;67651,43
92;1;2003;7849,18
93;1;2003;245907,77
94;1;2003;43346,83
95;1;2003;32166,59
96;1;2003;49365,69
97;1;2003;17448,34
98;1;2003;12424,01
99;1;2003;25694,70
100;1;2003;24305,63
104;1;2003;19516,89
105;1;2003;245752,04
106;1;2003;43102,40
107;1;2003;38297,26
108;1;2003;91551,22
109;1;2003;17248,29
110;1;2003;144102,72
111;1;2003;14353,71
112;1;2003;15799,77
118;1;2003;89317,88
119;1;2003;51096,80
120;1;2003;21285,97
121;1;2003;24909,67
122;1;2003;19362,50
123;1;2003;172869,27
124;1;2003;57233,36
125;1;2003;68667,64
126;1;2003;164443,03
127;1;2003;20200,78
128;1;2003;47659,95
129;1;2003;16745,38
134;1;2003;266456,65
135;1;2003;22976,96
136;1;2003;47676,85
137;1;2003;27008,58
138;1;2003;7801,37
139;1;2003;16386,40
140;1;2003;23345,90
141;1;2003;36976,10
142;1;2003;14709,10
143;1;2003;121036,78
144;1;2003;34085,87
145;1;2003;28871,49
146;1;2003;195244,37
151;1;2003;175545,52
152;1;2003;10479,96
153;1;2003;19833,75
154;1;2003;24021,80
155;1;2003;8522,69
156;1;2003;10437,04
157;1;2003;10100,18
158;1;2003;23294,30
159;1;2003;49917,56
165;1;2003;27400,03
166;1;2003;130244,50
167;1;2003;31369,87
168;1;2003;16519,50
1;2;2003;1546,21
4;2;2003;29809,33
5;2;2003;35679,63
